ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
468010773/tests/integration/construct_component_plain/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_plain/nodejs,Pulumi,typescript,construct_component_plain_nodejs,A program that constructs a remote component resource with prompt inputs.,nodejs,,,0,0,0,
468010773/tests/integration/construct_component_unknown/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_unknown/dotnet,Pulumi,csharp,construct_component_unknown_dotnet,A program that constructs remote component resources with unknowns during preview.,dotnet,,,0,0,0,
468010773/tests/integration/construct_component_unknown/python/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_unknown/python,Pulumi,python,construct_component_unknown_py,A program that constructs remote component resources with unknowns during preview.,python,,,0,0,0,
468010773/tests/integration/construct_component_unknown/go/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_unknown/go,Pulumi,go,construct_component_unknown_go,A program that constructs remote component resources with unknowns during preview.,go,,,0,0,0,
468010773/tests/integration/construct_component_unknown/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_unknown/nodejs,Pulumi,typescript,construct_component_unknown_nodejs,A program that constructs remote component resources with unknowns during preview.,nodejs,,,0,0,0,
468010773/tests/integration/read/read_dbr/step1/Pulumi.yaml,468010773,468010773/tests/integration/read/read_dbr/step1,Pulumi,typescript,read_dbr,A program that has a DBR resource depending on a read resource,nodejs,,,0,0,0,
468010773/tests/integration/read/import_acquire/step1/Pulumi.yaml,468010773,468010773/tests/integration/read/import_acquire/step1,Pulumi,typescript,import_acquire,A program that adopts an external resource,nodejs,,,0,0,0,
468010773/tests/integration/read/read_replace/step1/Pulumi.yaml,468010773,468010773/tests/integration/read/read_replace/step1,Pulumi,typescript,read_dbr,A program that has a DBR resource depending on a read resource,nodejs,,,0,0,0,
468010773/tests/integration/read/read_relinquish/step1/Pulumi.yaml,468010773,468010773/tests/integration/read/read_relinquish/step1,Pulumi,typescript,read_relinquish,A program that relinquishes a resource without deleting it,nodejs,,,0,0,0,
468010773/tests/integration/construct_component_methods_resources/python/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_methods_resources/python,Pulumi,python,construct_component_methods_resources_py,A program that constructs remote component resources with methods that create resources.,python,,,0,0,0,
468010773/tests/integration/construct_component_methods_resources/go/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_methods_resources/go,Pulumi,go,construct_component_methods_resources_go,A program that constructs remote component resources with methods that create resources.,go,,,0,0,0,
468010773/tests/integration/construct_component_methods_resources/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_methods_resources/nodejs,Pulumi,typescript,construct_component_methods_resources_nodejs,A program that constructs remote component resources with methods that create resources.,nodejs,,,0,0,0,
468010773/tests/integration/dynamic/python-resource-type-name/Pulumi.yaml,468010773,468010773/tests/integration/dynamic/python-resource-type-name,Pulumi,python,dynamic_resource_type_name_py,A simple Python program that uses dynamic providers with custom resource type name.,python,,,0,0,0,
468010773/tests/integration/dynamic/python/Pulumi.yaml,468010773,468010773/tests/integration/dynamic/python,Pulumi,python,dynamic_py,A simple Python program that uses dynamic providers.,python,,,0,0,0,
468010773/tests/integration/double_pending_delete/step1/Pulumi.yaml,468010773,468010773/tests/integration/double_pending_delete/step1,Pulumi,typescript,double_pending_delete,A program that produces multiple pending deletes for the same URN,nodejs,,,0,0,0,
468010773/tests/integration/python/resource_args/Pulumi.yaml,468010773,468010773/tests/integration/python/resource_args,Pulumi,python,pulumi-python-resource-args,A Python program that uses a generated library from schema to test resource args,python,,,0,0,0,
468010773/tests/integration/python/translation/Pulumi.yaml,468010773,468010773/tests/integration/python/translation,Pulumi,python,pylint,A Python program that tests dict key translation.,python,,,0,0,0,
468010773/tests/integration/python/pylint/Pulumi.yaml,468010773,468010773/tests/integration/python/pylint,Pulumi,python,pylint,A simple Python program that should be pylint clean.,python,,,0,0,0,
468010773/tests/integration/python/venv-with-main/Pulumi.yaml,468010773,468010773/tests/integration/python/venv-with-main/infra,Pulumi,python,pulumi-python-venv,A simple Python Pulumi program that needs a venv to run.,python,,,0,0,0,
468010773/tests/integration/construct_component_methods_unknown/dotnet/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_methods_unknown/dotnet,Pulumi,csharp,construct_component_methods_unknown_dotnet,A program that constructs remote component resources with methods and unknowns.,dotnet,,,0,0,0,
468010773/tests/integration/construct_component_methods_unknown/python/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_methods_unknown/python,Pulumi,python,construct_component_methods_unknown_py,A program that constructs remote component resources with methods and unknowns.,python,,,0,0,0,
468010773/tests/integration/construct_component_methods_unknown/go/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_methods_unknown/go,Pulumi,go,construct_component_methods_unknown_go,A program that constructs remote component resources with methods and unknowns.,go,,,0,0,0,
468010773/tests/integration/construct_component_methods_unknown/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/construct_component_methods_unknown/nodejs,Pulumi,typescript,construct_component_methods_unknown_nodejs,A program that constructs remote component resources with methods and unknowns.,nodejs,,,0,0,0,
